(360, 342, 16, 29)
(341, 324, 23, 37)
(321, 323, 23, 39)
(298, 323, 18, 37)
(262, 322, 36, 41)
(234, 319, 34, 45)
(190, 318, 47, 41)
(147, 318, 23, 40)
(128, 317, 22, 39)
(103, 317, 22, 39)
(80, 317, 23, 38)
(57, 317, 24, 37)
(35, 316, 24, 38)
(1, 316, 19, 37)
(168, 312, 24, 47)
(1, 275, 8, 24)
(366, 263, 10, 22)
(342, 260, 23, 37)
(320, 259, 23, 38)
(298, 259, 24, 37)
(275, 258, 24, 38)
(253, 258, 28, 38)
(232, 257, 20, 37)
(205, 257, 24, 47)
(183, 256, 28, 38)
(161, 255, 25, 49)
(125, 255, 23, 38)
(102, 255, 20, 47)
(81, 254, 23, 38)
(62, 254, 22, 37)
(37, 254, 22, 37)
(14, 253, 23, 37)
(1, 253, 10, 25)
(364, 221, 12, 14)
(368, 202, 8, 16)
(240, 198, 17, 35)
(347, 197, 22, 38)
(321, 196, 24, 39)
(297, 196, 22, 47)
(275, 196, 26, 39)
(216, 194, 23, 41)
(193, 194, 24, 39)
(171, 193, 24, 39)
(151, 193, 17, 38)
(125, 193, 21, 44)
(106, 192, 21, 38)
(83, 192, 22, 38)
(61, 192, 23, 37)
(38, 191, 23, 37)
(1, 191, 22, 37)
(366, 159, 8, 14)
(344, 135, 23, 38)
(322, 134, 23, 38)
(301, 134, 18, 38)
(278, 133, 22, 38)
(253, 132, 25, 39)
(233, 132, 24, 39)
(211, 130, 23, 43)
(166, 130, 25, 39)
(129, 130, 23, 38)
(105, 129, 24, 38)
(87, 129, 22, 38)
(18, 129, 18, 36)
(186, 128, 26, 42)
(61, 128, 23, 39)
(39, 128, 23, 38)
(1, 127, 16, 38)
(366, 98, 8, 11)
(346, 72, 23, 38)
(325, 71, 21, 39)
(303, 71, 21, 38)
(281, 71, 17, 37)
(241, 69, 23, 39)
(199, 68, 23, 39)
(174, 68, 23, 38)
(152, 67, 23, 39)
(129, 67, 24, 38)
(107, 67, 23, 38)
(218, 66, 23, 42)
(86, 66, 22, 38)
(63, 66, 23, 37)
(40, 65, 23, 38)
(3, 65, 22, 37)
(346, 9, 23, 37)
(328, 9, 21, 36)
(259, 9, 17, 35)
(302, 8, 22, 38)
(280, 8, 22, 37)
(236, 7, 22, 37)
(214, 6, 22, 38)
(190, 6, 24, 37)
(170, 5, 18, 38)
(131, 4, 23, 38)
(109, 4, 23, 37)
(87, 4, 22, 37)
(63, 4, 23, 36)
(43, 3, 21, 37)
(19, 3, 22, 36)
(1, 3, 18, 37)
